| case_name                                                                | status   | duration   |  |
| -----------                                                              | -------- | ---------- |  |
| 1. rocm_ffn_moe_fp8_ll_test (in bazeltest_tests_rocm_all.log)            | PASSED   | 114.1s     |  |
| 2. rocm_gemm_op_test (in bazeltest_tests_rocm_all.log)                   | PASSED   | 72.4s      |  |
| 3. rocm_mla_context_attention (in bazeltest_tests_rocm_all.log)          | PASSED   | 22.6s      |  |
| 4. rocm_mla_decode_attention (in bazeltest_tests_rocm_all.log)           | PASSED   | 20.5s      |  |
| 5. rocm_mla_rotary_kvcache_test (in bazeltest_tests_rocm_all.log)        | PASSED   | 63.1s      |  |
| 6. rocm_pertensor_int8_gemm_op_test (in bazeltest_tests_rocm_all.log)    | PASSED   | 23.5s      |  |
| 7. rocm_ptpc_a8w8_gemm_op_test (in bazeltest_tests_rocm_all.log)         | PASSED   | 25.0s      |  |
| 8. rocm_ptpc_gemm_op_test (in bazeltest_tests_rocm_all.log)              | PASSED   | 23.8s      |  |
| 9. fused_qk_rmsnorm (in bazeltest_tests_fused_qk_rmsnorm.log)            | PASSED   | 20.8s      |  |
| 10. rocm_ptpc_gemm_op_test (in bazeltest_tests_ptpc_gemm_op_swizzle.log) | PASSED   | 23.1s      |  |
| 11. embedding_lookup_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 23.5s      |  |
| 12. gemm_op_test (in bazeltest_rocmimpl_all.log)                         | PASSED   | 23.8s      |  |
| 13. layernorm_test (in bazeltest_rocmimpl_all.log)                       | PASSED   | 24.5s      |  |
| 14. rccl_test (in bazeltest_rocmimpl_all.log)                            | PASSED   | 23.9s      |  |
| 15. rocm_act_op_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 24.0s      |  |
| 16. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 24.2s      |  |
| 17. rocm_basic_test (in bazeltest_rocmimpl_all.log)                      | PASSED   | 25.1s      |  |
| 18. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log)          | PASSED   | 24.3s      |  |
| 19. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 28.5s      |  |
| 20. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 23.2s      |  |
| 21. rocm_ops_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 23.8s      |  |
| 22. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)                 | PASSED   | 24.2s      |  |
| 23. sampler_test (in bazeltest_rocmimpl_all.log)                         | PASSED   | 23.3s      |  |
| 24. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)             | PASSED   | 23.9s      |  |
| 25. rocm_embedding_test (in bazeltest_py_all.log)                        | PASSED   | 26.7s      |  |
| 26. rocm_fmha_test (in bazeltest_py_all.log)                             | PASSED   | 245.5s     |  |
| 27. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)              | PASSED   | 26.9s      |  |
| 28. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)                   | PASSED   | 30.1s      |  |
| 29. rocm_general_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 26.6s      |  |
| 30. rocm_layer_norm_test (in bazeltest_py_all.log)                       | PASSED   | 27.7s      |  |
| 31. rocm_norm_test (in bazeltest_py_all.log)                             | PASSED   | 29.0s      |  |
| 32. rocm_fused_moe_test (in bazeltest_py_all.log)                        | PASSED   | 165.8s     |  |
| 33. fp8_ptpc_linear_test (in bazeltest_py_all.log)                       | PASSED   | 25.0s      |  |
| 34. rocm_linear_test (in bazeltest_py_all.log)                           | PASSED   | 29.1s      |  |
| Bert_fp16_4l_sku_mean_909                                                | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                                 | MATCH    | -          |  |
| Bert_int8                                                                | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                                   | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                                 | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                         | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                     | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                           | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                                    | MISMATCH | -          |  |
| Qwen_VL_TP1                                                              | MATCH    | -          |  |
| Qwen_VL_TP4                                                              | MATCH    | -          |  |
