| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 16.7s      |  |
| 2. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 363.0s     |  |
| 3. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 16.2s      |  |
| 4. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 16.3s      |  |
| 5. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | PASSED   | 16.2s      |  |
| 6. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 16.1s      |  |
| 7. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 16.4s      |  |
| 8. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | PASSED   | 37.4s      |  |
| 9. test_unified_allreduce_tp (in bazeltest_py_all.log)          | PASSED   | 60.7s      |  |
| 10. trt_allreduce_test (in bazeltest_py_all.log)                | PASSED   | 106.2s     |  |
| 11. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 2.9s       |  |
| 12. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 3.0s       |  |
| 13. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 295.4s     |  |
| 14. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 182.2s     |  |
| 15. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 20.9s      |  |
| 16. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 20.2s      |  |
| 17. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 19.7s      |  |
| 18. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 116.1s     |  |
| 19. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 61.8s      |  |
