| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 17.0s      |  |
| 2. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 385.0s     |  |
| 3. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 16.0s      |  |
| 4. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 16.7s      |  |
| 5. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | FAILED   | N/A        |  |
| 6. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 15.9s      |  |
| 7. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 16.7s      |  |
| 8. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | PASSED   | 36.6s      |  |
| 9. test_unified_allreduce_tp (in bazeltest_py_all.log)          | PASSED   | 59.8s      |  |
| 10. trt_allreduce_test (in bazeltest_py_all.log)                | PASSED   | 107.5s     |  |
| 11. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 2.9s       |  |
| 12. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 2.9s       |  |
| 13. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 270.3s     |  |
| 14. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 153.7s     |  |
| 15. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 15.9s      |  |
| 16. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 15.5s      |  |
| 17. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 16.0s      |  |
| 18. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 111.2s     |  |
| 19. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 62.3s      |  |
| Bert_int8                                                       | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                  | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                          | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                        | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                            | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache                | FAILED   | -          |  |
| Qwen_VL_TP1                                                     | FAILED   | -          |  |
| Qwen_VL_TP4                                                     | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                        | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                           | MISMATCH | -          |  |
