| case_name                                                    | status   | duration   |  |
| -----------                                                  | -------- | ---------- |  |
| 1. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)  | PASSED   | 48.8s      |  |
| 2. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log) | PASSED   | 49.3s      |  |
| 3. sampler_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 53.2s      |  |
| 4. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)  | FAILED   | N/A        |  |
| 5. rocm_embedding_test (in bazeltest_py_all.log)             | PASSED   | 56.0s      |  |
| 6. rocm_fmha_test (in bazeltest_py_all.log)                  | PASSED   | 276.2s     |  |
| 7. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)   | PASSED   | 56.5s      |  |
| 8. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)        | PASSED   | 61.7s      |  |
| 9. rocm_general_layer_norm_test (in bazeltest_py_all.log)    | PASSED   | 55.4s      |  |
| 10. rocm_layer_norm_test (in bazeltest_py_all.log)           | PASSED   | 57.5s      |  |
| 11. rocm_norm_test (in bazeltest_py_all.log)                 | PASSED   | 62.3s      |  |
| 12. rocm_fused_moe_test (in bazeltest_py_all.log)            | PASSED   | 64.8s      |  |
| 13. fp8_ptpc_linear_test (in bazeltest_py_all.log)           | PASSED   | 99.9s      |  |
| 14. rocm_linear_test (in bazeltest_py_all.log)               | PASSED   | 100.1s     |  |
| Bert_fp16_4l_sku_mean_909                                    | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                     | MATCH    | -          |  |
| Bert_int8                                                    | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                       | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                     | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                             | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                         | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                               | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                        | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache             | MATCH    | -          |  |
| Qwen_VL_TP1                                                  | MATCH    | -          |  |
| Qwen_VL_TP4                                                  | MATCH    | -          |  |
