| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 26.8s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 28.0s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 28.2s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 29.0s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 26.1s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 27.0s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 26.7s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 26.3s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 29.6s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 26.4s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 26.5s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 28.5s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 25.7s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 26.3s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 30.9s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 75.3s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 25.3s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 23.2s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 68.4s      |  |
| 20. //tests:rocm_pertensor_int8_gemm_op_test                        | PASSED   | 29.7s      |  |
| 21. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 30.1s      |  |
| Qwen3_30B_A3B_bf16_moe                                              | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                                | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense                                             | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_sync_with_ali                               | FAILED   | -          |  |
