| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 26.3s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 26.1s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 28.9s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 26.3s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 29.5s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 26.4s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 26.6s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 26.5s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 29.3s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 26.3s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 28.8s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 26.9s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 28.9s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 26.5s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 27.9s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 76.9s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 23.6s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 25.7s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 71.6s      |  |
| 20. //tests:rocm_pertensor_int8_gemm_op_test                        | PASSED   | 30.7s      |  |
| 21. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 30.5s      |  |
| Qwen3_30B_A3B_bf16_moe                                              | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense                                             | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_sync_with_ali                               | MISMATCH | -          |  |
