| case_name                                                               | status   | duration   |  |
| -----------                                                             | -------- | ---------- |  |
| 1. rocm_gemm_op_test (in bazeltest_tests_rocm_all.log)                  | PASSED   | 78.8s      |  |
| 2. rocm_mla_context_attention (in bazeltest_tests_rocm_all.log)         | PASSED   | 26.8s      |  |
| 3. rocm_mla_decode_attention (in bazeltest_tests_rocm_all.log)          | PASSED   | 27.3s      |  |
| 4. rocm_mla_rotary_kvcache_test (in bazeltest_tests_rocm_all.log)       | PASSED   | 67.1s      |  |
| 5. rocm_pertensor_int8_gemm_op_test (in bazeltest_tests_rocm_all.log)   | PASSED   | 29.1s      |  |
| 6. rocm_ptpc_gemm_op_test (in bazeltest_tests_rocm_all.log)             | PASSED   | 29.5s      |  |
| 7. fused_qk_rmsnorm (in bazeltest_tests_fused_qk_rmsnorm.log)           | PASSED   | 27.0s      |  |
| 8. rocm_ptpc_gemm_op_test (in bazeltest_tests_ptpc_gemm_op_swizzle.log) | PASSED   | 27.5s      |  |
| 9. embedding_lookup_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 28.0s      |  |
| 10. gemm_op_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 27.9s      |  |
| 11. layernorm_test (in bazeltest_rocmimpl_all.log)                      | PASSED   | 27.4s      |  |
| 12. rccl_test (in bazeltest_rocmimpl_all.log)                           | PASSED   | 27.7s      |  |
| 13. rocm_act_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 28.6s      |  |
| 14. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 27.8s      |  |
| 15. rocm_basic_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 28.5s      |  |
| 16. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log)         | PASSED   | 27.6s      |  |
| 17. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 29.8s      |  |
| 18. rocm_ops_test (in bazeltest_rocmimpl_all.log)                       | PASSED   | 28.0s      |  |
| 19. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 27.8s      |  |
| 20. sampler_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 27.1s      |  |
| 21. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)            | PASSED   | 27.3s      |  |
| 22. rocm_embedding_test (in bazeltest_py_all.log)                       | PASSED   | 31.7s      |  |
| 23. rocm_fmha_test (in bazeltest_py_all.log)                            | PASSED   | 289.9s     |  |
| 24. rocm_fp8_linear_test (in bazeltest_py_all.log)                      | PASSED   | 31.7s      |  |
| 25. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)             | PASSED   | 34.5s      |  |
| 26. rocm_fused_moe_test (in bazeltest_py_all.log)                       | PASSED   | 180.5s     |  |
| 27. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)                  | PASSED   | 38.3s      |  |
| 28. rocm_general_layer_norm_test (in bazeltest_py_all.log)              | PASSED   | 34.2s      |  |
| 29. rocm_layer_norm_test (in bazeltest_py_all.log)                      | PASSED   | 34.6s      |  |
| 30. rocm_linear_test (in bazeltest_py_all.log)                          | PASSED   | 39.6s      |  |
| 31. rocm_norm_test (in bazeltest_py_all.log)                            | PASSED   | 37.7s      |  |
| Bert_fp16_4l_sku_mean_909                                               | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                                | MATCH    | -          |  |
| Bert_int8                                                               | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                                  | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                                | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                        | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                    | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                                   | MATCH    | -          |  |
| Qwen_VL_TP1                                                             | MATCH    | -          |  |
| Qwen_VL_TP4                                                             | MATCH    | -          |  |
